Components1,Components2,Components3,Components4
0.0,0.0,1.4689959519921334e-12,0.0
0.0,6.11337831463463e-11,8.836651284771647e-13,0.0
0.0,1.0498484599569674e-10,4.308171151816914e-13,0.0
0.0,4.233045173528361e-11,1.0324214091836931e-12,0.0
1.0547386101711635e-06,7.821678193272194e-11,6.414270729051629e-13,9.520716660489526e-05
0.0,0.0,1.457041685370065e-12,0.0
2.798791967724492e-07,1.273603901800994e-10,2.517731250552831e-13,0.0
0.0,7.57733987525997e-11,7.251304994982177e-13,0.0
1.7748364103371412e-06,1.51594905261993e-10,0.0,0.0
0.0,7.992867793025348e-11,6.840104217064093e-13,0.0
9.04917702831195e-08,1.8827693049849055e-11,1.2960184270126448e-12,0.0
0.0,0.0,1.472073314251131e-12,0.0
0.0,5.2691985454335566e-11,9.39115025756515e-13,0.0
0.0,0.0,1.4812665112893404e-12,0.0
0.0,4.0968122847417577e-11,1.0535311937787707e-12,0.0
0.0,0.0,1.4718854006912157e-12,0.0
0.0,0.0,1.350823981958936e-12,0.0
0.0,9.96445384558935e-11,5.263829586281694e-13,0.0
2.4200506702352997e-06,1.389134185685236e-10,0.0,0.0002473580243524685
2.1841608657086074e-06,4.777277659296377e-11,8.680076642027083e-13,0.0
0.0,1.7510345205634894e-10,0.0,0.0
8.863440422418116e-06,0.0,0.0,0.0
0.0,8.134761672294629e-11,6.711706880929148e-13,0.0
0.0,8.777358271320286e-13,1.3852651085320344e-12,0.0
0.0,6.455684303400493e-11,8.62329598366342e-13,0.0
0.0,1.747761881531601e-10,0.0,0.0
0.0,1.6927201486059384e-10,0.0,0.0
1.3319654155622786e-06,7.75949049447957e-11,6.881004121670151e-13,0.0
0.0,5.465239961934695e-11,9.285780605905254e-13,0.0
0.0,0.0,1.4777338182151766e-12,0.0
0.0,3.450431526735059e-11,1.1332731765689565e-12,0.0
0.0,1.1325430956770436e-10,3.885692147352909e-13,0.0
0.0,1.0411914127954867e-10,4.4482286260246554e-13,0.0
0.0,7.017656041394389e-11,8.162456258568929e-13,0.0
1.7302776531425052e-06,1.2388894058149552e-10,0.0,0.0
0.0,7.182920444495235e-11,7.715955748203745e-13,0.0
0.0,1.427689788821916e-10,0.0,0.0
0.0,4.672598532184411e-11,1.0294621220933608e-12,0.0
0.0,0.0,1.4798148598773448e-12,0.0
0.0,6.535179862767891e-11,8.325357727847247e-13,0.0
5.39606437457808e-07,1.4085023764279428e-11,1.3188003606144485e-12,0.0
0.0,0.0,1.4421153459491873e-12,0.0
0.0,2.2928945367550946e-13,1.3978776601040695e-12,0.0
0.0,1.1442112015145504e-10,3.2732774225108904e-13,0.0
0.0,7.494599359964519e-11,7.648018258371079e-13,0.0
0.0,1.1373665736299334e-10,3.7370669396181523e-13,0.0
0.0,0.0,1.4663128770895528e-12,0.0
1.1603859984352894e-07,0.0,1.4780898289617798e-12,0.0
0.0,1.2358885167457422e-10,2.8025664660434315e-13,0.0
2.720307747858242e-06,3.746618868235903e-11,9.399290082601152e-13,0.0
0.0,3.997112774395601e-12,1.4270992800476203e-12,0.0
0.0,1.0979329197725354e-12,1.447582393530112e-12,0.0
0.0,0.0,1.4536647195038657e-12,0.0
0.0,4.08540127848504e-12,1.4029426932861088e-12,0.0
6.548344319263717e-07,1.3228060211963772e-11,1.264471190442991e-12,0.0
1.2517093006750866e-06,5.6653521720547826e-11,8.585621328732335e-13,0.0
8.434086986054795e-07,0.0,1.4187460150807824e-12,0.0
5.947726902643815e-06,1.0475613120876054e-10,0.0,0.0
2.456339359994649e-06,1.484853178566089e-10,1.7624229129117033e-14,0.0
4.084902829792011e-06,0.0,1.2241714184231284e-12,5.456294218822846e-05
0.0,0.0,1.46829101693698e-12,0.0
0.0,1.859104377327283e-11,1.2950379230248112e-12,0.0
1.4088284030071527e-06,6.646121438628584e-11,0.0,0.0009058045426853555
0.0,0.0,1.499127906721133e-12,0.0
0.0,0.0,1.4419850571783838e-12,0.0
0.0,3.072733272118421e-11,1.1668024352399608e-12,0.0
0.0,1.6642262197044389e-10,0.0,2.3622432477807745e-05
0.0,8.688530085560843e-12,1.356869510383471e-12,0.0
0.0,1.0483643256211177e-11,1.3015449420728141e-12,1.8355161014121e-06
0.0,1.3486954502014784e-12,1.4641218668107666e-12,0.0
1.2947044101853702e-06,6.092391372561445e-11,7.750899580596703e-13,0.0
3.511064913640091e-06,1.6470750211959784e-11,1.0985223908381736e-12,0.0
1.4839662198183605e-07,0.0,1.4666641492925898e-12,0.0
0.0,4.206935943259733e-11,1.0585969230123042e-12,0.0
9.339538336878658e-07,2.5329349333981763e-11,1.1777491455774308e-12,0.0
0.0,3.6956326219645055e-11,1.1274332093073034e-12,0.0
0.0,1.373388920988334e-10,1.1526031582146545e-13,0.0001561260984253366
0.0,3.4969931362419856e-11,1.0418559339341525e-12,0.0
0.0,1.1734749179156723e-11,1.2949190569812605e-12,0.0
0.0,7.071681361095028e-11,7.694332882947875e-13,0.0
4.518090951816837e-07,2.272503129246621e-11,1.2302694283477438e-12,0.0
0.0,9.037604184346775e-11,5.553841946043209e-13,0.0
0.0,6.665923139925324e-13,1.3948138480626715e-12,8.102653588760981e-06
9.004963418280795e-07,1.0439811171762841e-10,4.107671994241072e-13,0.0
3.847323343295812e-06,7.153928820370956e-11,4.818788171192912e-13,0.00016827486193639977
0.0,0.0,1.4546482186028332e-12,0.0
1.4923824982772368e-06,0.0,1.3611582703118158e-12,0.0
1.887518635049262e-07,2.323121985644101e-11,1.220470699671553e-12,0.0
0.0,5.059738619872097e-11,9.555633701309873e-13,0.0
0.0,0.0,1.463651781256623e-12,0.0
0.0,8.093670930168401e-11,6.497311652760639e-13,0.0
0.0,1.489599359636012e-11,1.2545692610806362e-12,0.0
8.636698844429848e-07,4.653866402126372e-11,8.986729818169792e-13,0.0
4.029851937773323e-06,1.2430152083525687e-10,6.031025434596592e-14,0.0
9.194816507401097e-06,0.0,0.0,0.0005213839630943006
9.328119370435078e-08,1.8829829420970213e-12,1.4166606243422083e-12,1.1148220648979308e-06
1.2754821932963292e-06,0.0,1.4436339860412388e-12,0.0
2.8675542931993187e-06,0.0,1.3188633952913249e-12,0.0
4.959008338478996e-07,5.516033051715136e-11,8.663554768647542e-13,0.0
5.1197470296400634e-08,1.0542163846946024e-10,5.476442568388886e-13,2.0813256372490354e-05
0.0,0.0,1.4461960784032363e-12,0.0
0.0,0.0,1.487410907980753e-12,0.0
0.0,0.0,1.4552130320369573e-12,0.0
0.0,0.0,1.4705103761241536e-12,0.0
3.15594190511009e-07,0.0,1.504667333931783e-12,0.0
0.0,3.5056781015581827e-12,1.4324459393600411e-12,0.0
0.0,0.0,1.4742068046853857e-12,0.0
0.0,0.0,1.4700243469680667e-12,0.0
0.0,0.0,1.445196974929894e-12,0.0
4.242535051401685e-06,0.0,1.231055147965428e-12,0.0
0.0,0.0,1.5215829863602315e-12,0.0
0.0,0.0,1.4547275261726897e-12,0.0
0.0,0.0,1.4768615453487306e-12,0.0
0.0,0.0,1.4485620737349688e-12,0.0
0.0,6.879036335779103e-11,8.048676680933765e-13,0.0
0.0,4.175012703392851e-11,1.0649005454563116e-12,0.0
0.0,5.476260632666002e-12,1.405725563409258e-12,0.0
0.0,0.0,1.481198007589283e-12,0.0
0.0,0.0,1.4768622780516164e-12,0.0
1.033948182514473e-05,1.2687620508115658e-11,0.0,0.0
4.3679303456522856e-07,3.695694126512921e-11,1.0441569503559473e-12,0.0
0.0,0.0,1.400778959822283e-12,0.0
4.929508315251494e-06,9.014435529471524e-11,2.847706002628021e-13,0.00011312140663895972
4.168778812532924e-06,2.4571712995791168e-11,0.0,0.0008881486019301685
