Wavenumber,COMP1,COMP2,COMP3,COMP4
1799.427734,12164.537201561161,2200456533.2821937,175750504824.87073,405.75643619777503
1797.845703,11695.08267958034,2240161768.4180994,177694730515.75052,394.21311097743904
1796.263672,11513.892657529432,2277229377.439791,180323372443.23254,380.77566587690933
1794.679688,11914.167575607473,2331365141.8013563,183692056449.97665,388.82528564276373
1793.095703,12600.083788804739,2389328374.6530147,187294131572.53183,402.6227946081495
1791.511719,13338.366852645442,2388098810.0887184,190819850763.30252,409.25028877197786
1789.927734,13910.550204875832,2446615525.6220307,193709795856.8142,412.5210716504972
1788.34375,13992.978347754803,2434875480.236443,195265593816.67166,412.00637953913645
1786.759766,13800.69287494378,2416896796.1366496,195781590151.3087,408.6264490719269
1785.173828,13523.15106276557,2399457053.3650584,195682166658.4427,405.1247732767351
1783.587891,13253.870513523432,2386219558.304901,194758951453.19333,401.3077555565694
1782.001953,13169.714790414324,2389075088.331987,192613707039.9508,397.4642336741735
1780.416016,13131.362932565838,2401820152.3778157,190352919455.4245,394.4351363283381
1778.830078,13033.369242050761,2418453336.570795,187515037891.71515,392.1729195981861
1777.244141,12764.74773308355,2435273826.749953,184901035094.82443,392.6288791842139
1775.65625,12156.99816761939,2445613731.0340858,183045652659.52667,398.04361639083294
1774.068359,11421.04890857333,2456496510.5828886,181805817434.1894,406.30475610874936
1772.480469,10725.206859812244,2472916424.9376664,181167544321.94437,415.49746448122715
1770.892578,10238.744225400582,2502099807.1066046,180910809679.24194,424.9209660147024
1769.304688,10204.761875325552,2553000263.7927356,180753749166.62918,432.9466587829789
1767.716797,10436.524037490402,2616676593.907171,181091664403.40573,440.10810834704733
1766.126953,10751.365873479135,2688509601.2376957,181870502081.9918,447.96757631047825
1764.537109,11088.221063494277,2754093765.568835,184170949816.22336,453.92045530010745
1762.947266,11311.356468411996,2796301155.876305,189225182758.8329,455.71822579804626
1761.357422,11481.965236599739,2831192454.1342993,195298065025.30173,456.3317290784091
1759.767578,11686.084751800321,2865179654.4264936,201308034027.7464,456.50581862062853
1758.175781,11873.12811346062,2923077639.6787877,205268409229.32733,461.8095055786969
1756.585938,12024.325420986845,3036703256.383877,204592964211.15225,479.00570248784265
1754.994141,12151.514872639407,3167882079.815355,201531658351.0665,500.5344204552416
1753.402344,12229.329710489874,3289525289.9869366,197943001528.094,521.0931747511939
1751.810547,12332.342915257048,3367922979.516818,195266668206.3159,533.9824784923668
1750.21875,12540.366782038222,3354825540.085514,195774234972.84885,529.6761294983417
1748.625,12758.391105863973,3292435559.562001,197875146424.4563,516.2950397204414
1747.033203,12945.94715758929,3222378467.189024,200131095265.93552,501.44504810896774
1745.439453,12964.15416271257,3156037540.4532213,201789373190.73135,488.26932894856526
1743.845703,12642.53789245757,3121187121.1705146,201501684396.15335,482.9641625903342
1742.251953,12163.899153043772,3109158320.1541877,200401342029.6472,482.4531916914761
1740.65625,11651.215906687123,3098350370.2145305,199322890157.4255,482.49465732928104
1739.0625,11294.01535620986,3116665606.6676197,199364247201.8466,484.8886387072283
1737.466797,11345.05390817085,3187513813.3304276,202028227791.80386,490.17122432758805
1735.871094,11590.066208614386,3278726863.838076,205685891898.34207,496.71916121690134
1734.275391,11874.116235368369,3374899997.9611483,209307580488.09262,503.9152603124071
1732.679688,12013.229873731407,3432111898.9975166,210992315996.87592,509.5488425177422
1731.083984,11738.391739207791,3394919562.8870316,208259752639.03333,510.8001591870546
1729.486328,11303.531911887823,3312637273.008868,203560386933.42813,509.3276348208234
1727.890625,10908.521114979983,3223460877.1394477,198632357982.30463,507.11695333003644
1726.292969,10734.104578046528,3162147451.5831046,195754170713.63342,503.3002422185687
1724.695313,11061.276302875303,3182248772.611747,198131542950.12595,497.71998381822954
1723.097656,11636.002911220112,3241984176.7030187,202904318451.62445,491.6823498323572
1721.498047,12213.08979586965,3303124866.6457925,207765589772.33478,485.2333400847374
1719.900391,12705.625858473766,3347734681.633994,210823971010.0441,481.6077795236446
1718.300781,12929.153031888618,3343387988.092631,209049535594.0793,484.5416050686792
1716.701172,12978.321227663391,3314187139.534324,205042406076.87665,490.1986655529695
1715.101563,13008.940171715063,3278183728.4595857,201346890420.20572,495.7976001899079
1713.501953,12911.965149912883,3245345910.770242,198746233420.0632,498.3916580643639
1711.902344,12619.253365742594,3309731072.5763235,199031219089.2848,493.49212161061416
1710.300781,12269.950552660079,3290825905.894436,201247655681.6116,484.7961723614934
1708.701172,11914.4889098573,3341780782.8000154,203845657561.56137,476.25273268320524
1707.099609,11783.48873199064,3380523880.403118,207851831611.76917,468.0658722465302
